Country1,Country2
Afghanistan,Pakistan
Afghanistan,Iran
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Afghanistan,Tajikstan
Afghanistan,China
Albania,Montengero
Albania,Kosovo
Albania,North Macedonia
Albania,Greece
Algeria,Tunisia
Algeria,Libya
Algeria,Niger
Algeria,Mali
Algeria,Mauritania
Algeria,Morocco
Algeria,Western Sahara
Andorra,France
Andorra,Spain
Angola,Democratic Republic of the Congo
Angola,Namibia
Angola,Zambia
Angola,Republic of the Congo
Argentina,Chile
Argentina,Paraguay
Argentina,Bolivia
Argentina,Uruguay
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Turkey
Armenia,Iran
Austria,Germany
Austria,Cezch Republic
Austria,Italy
Austria,Slovenia
Austria,Hungary
Austria,Slovakia
Austria,Switzerland
Austria,Liechtenstein
Azerbaijan,Russia
Azerbaijan,Iran
Azerbaijan,Georgia
Azerbaijan,Armenia
Azerbaijan,Turkey
Bangladesh,India
Bangladesh,Myanmar
Belarus,Russia
Belarus,Ukraine
Belarus,Poland
Belarus,Lativa
Belarus,Lithuania
Belgium,Germany
Belgium,France
Belgium,Netherlands
Belgium,Luxembourg
Belize,Mexico
Belize,Guatemala
Benin,Togo
Benin,Nigeria
Benin,Burkina Faso
Benin,Niger
Bhutan,China
Bhutan,India
Bolivia,Brazil
Bolivia,Chile
Bolivia,Paraguay
Bolivia,Peru
Bolivia,Argentina
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Montengero
Botswana,South Africa
Botswana,Namibia
Botswana,Zimbabwe
Botswana,Zambia
Brazil,Paraguay
Brazil,Uruguay
Brazil,Bolivia
Brazil,Peru
Brazil,Colombia
Brazil,Venezuela
Brazil,Guyana
Brazil,Suriname
Brazil,French Guiana
Brazil,Argentina
Brunei,Malaysia
Bulgaria,Romania
Bulgaria,Turkey
Bulgaria,Serbia
Bulgaria,North Macedonia
Bulgaria,Greece
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Benin
Burkina Faso,Ghana
Burkina Faso,Ivory Coast
Burkina Faso,Togo
Burma,India
Burma,China
Burma,Laos
Burma,Thailand
Burma,Bangladesh
Burundi,Rwanda
Burundi,Tanzania
Burundi,Democratic Republic of the Congo
Cambodia,Thailand
Cambodia,Laos
Cambodia,Vietnam
Cameroon,Nigeria
Cameroon,Chad
Cameroon,Central African Republic
Cameroon,Republic of the Congo
Cameroon,Gabon
Cameroon,Equatorial Guinea
Canada,United States
Central African Republic,Sudan
Central African Republic,Chad
Central African Republic,Cameroon
Central African Republic,Republic of the Congo
Central African Republic,Democratic Republic of the Congo
Central African Republic,South Sudan
Chad,Niger
Chad,Libya
Chad,Sudan
Chad,Central African Republic
Chad,Cameroon
Chad,Nigeria
Chile,Bolivia
Chile,Argentina
Chile,Peru
Colombia,Venezuela
Colombia,Brazil
Colombia,Peru
Colombia,Ecuador
Colombia,Panama
Costa Rica,Panama
Costa Rica,Nicaragua
Ivory Coast,Liberia
Ivory Coast,Guinea
Ivory Coast,Mali
Ivory Coast,Burkina Faso
Ivory Coast,Ghana
Croatia,Slovenia
Croatia,Hungary
Croatia,Serbia
Croatia,Bosnia and Herzegovnia
Croatia,Montenegro
Czechia,Germany
Czechia,Poland
Czechia,Slovakia
Czechia,Austria
Democratic Republic of the Congo,South Sudan
Democratic Republic of the Congo,Uganda
Democratic Republic of the Congo,Rwanda
Democratic Republic of the Congo,Republic of the Congo
Democratic Republic of the Congo,Angola
Democratic Republic of the Congo,Zambia
Democratic Republic of the Congo,Central African Republic
Democratic Republic of the Congo,Burundi
Democratic Republic of the Congo,Tanzania
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Somalia
Ecuador,Colombia
Ecuador,Peru
Egypt,Libya
Egypt,Sudan
Egypt,Gaza
Egypt,Israel
El Salvador,Honduras
El Salvador,Guatemala
Equatorial Guinea,Gabon
Equatorial Guinea,Cameroon
Eritrea,Sudan
Eritrea,Ethiopia
Eritrea,Djibouti
Estonia,Latvia
Estonia,Russia
Eswatini,South Africa
Eswatini,Mozambique
Ethiopia,Eritrea
Ethiopia,Sudan
Ethiopia,South Sudan
Ethiopia,Somalia
Ethiopia,Kenya
Ethiopia,Djibouti
Finland,Sweden
Finland,Norway
Finland,Russia
France,Germany
France,Belgium
France,Luxembourg
France,Switzerland
France,Italy
France,Andorra
France,Spain
French Guiana,Brazil
French Guiana,Suriname
Gabon,Cameroon
Gabon,Equatorial Guinea
Gabon,Republic of the Congo
Gaza,Israel
Gaza,Egypt
Georgia,Russia
Georgia,Azerbaijan
Georgia,Armenia
Georgia,Turkey
Germany,France
Germany,Netherlands
Germany,Belgium
Germany,Luxembourg
Germany,Switzerland
Germany,Austria
Germany,Czech Republic
Germany,Poland
Germany,Denmark
Ghana,Ivory Coast
Ghana,Burkina Faso
Ghana,Togo
Greece,Albania
Greece,North Macedonia
Greece,Bulgaria
Greece,Turkey
Guatemala,Belize
Guatemala,Mexico
Guatemala,Honduras
Guatemala,El Salvador
Guinea,Mali
Guinea,Senegal
Guinea,Sierra Leona
Guinea,Ivory Coast
Guinea,Liberia
Guinea,Guinea-Bissau
Guinea-Bissau,Senegal
Guinea-Bissau,Guinea
Guyana,Venezuela
Guyana,Suriname
Guyana,Brazil
Haiti,Dominican Republic
Honduras,Guatemala
Honduras,El Salvador
Honduras,Nicaragua
Hong Kong,China
Hungary,Serbia
Hungary,Romania
Hungary,Slovakia
Hungary,Ukraine
Hungary,Austria
Hungary,Croatia
Hungary,Slovenia
India,Pakistan
India,Nepal
India,Bangladesh
India,Bhutan
India,China
India,Myanmar
Indonesia,Malaysia
Indonesia,Timor-Leste
Indonesia,Papua New Guinea
Iran,Iraq
Iran,Turkmenistan
Iran,Afghanistan
Iran,Pakistan
Iran,Turkey
Iran,Armenia
Iraq,Iran
Iraq,Syria
Iraq,Turkey
Iraq,Saudi Arabia
Iraq,Kuwait
Iraq,Jordan
Ireland,United Kingdom
Israel,Lebanon
Israel,Syria
Israel,Egypt
Israel,Gaza
Israel,Jordan
Italy,France
